Date,Open,High,Low,Close,Adj Close,Volume
10/18/2017,1009.27002,1022.309998,996.549988,997,997,2499700
10/19/2017,990,991.049988,980.23999,986.609985,986.609985,3108200
10/20/2017,993.530029,994.619995,982,982.909973,982.909973,2365100
10/23/2017,986.72998,986.780029,962.5,966.299988,966.299988,3494100
10/24/2017,969,979.849976,965,975.900024,975.900024,2723900
10/25/2017,978,984.440002,966.23999,972.909973,972.909973,3033100
10/26/2017,980.330017,982.900024,968.549988,972.429993,972.429993,5618700
10/27/2017,1058.140015,1105.579956,1050.550049,1100.949951,1100.949951,16482600
